volume_number,start_page_label,start_page_index,page_length,macropaedia_contents_name,suggested_propaedia_name,suggested_propaedia_name_occurrence_count,suggested_propaedia_name_match_methods,suggested_propaedia_name_source_pages,suggested_propaedia_name_source_images,alternate_propaedia_names,propaedia_name,propaedia_name_source_image_path,notes
1,1,1,4,ACCOUNTING,,,,,,,,,
1,5,5,1,Ansel ADAMS,,,,,,,,,
1,6,6,3,John ADAMS,,,,,,,,,
1,9,9,15,AESTHETICS,,,,,,,,,
1,24,24,13,AFGHANISTAN,,,,,,,,,
1,37,37,83,AFRICA,,,,,,,,,
1,120A,120,1,AFRICAN AMERICAN LITERATURE,,,,,,,,,
1,121,121,47,AFRICAN ARTS,,,,,,,,,
1,168,168,4,AGRICULTURAL SCIENCES,,,,,,,,,
1,172,172,23,The History of AGRICULTURE,,,,,,,,,
1,195,195,29,ALCOHOL AND DRUG CONSUMPTION,,,,,,,,,
1,224,224,5,ALEXANDER the Great,,,,,,,,,
1,229,229,5,ALEXANDRIA,,,,,,,,,
1,234,234,10,ALGAE,Algae,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
1,244,244,56,ALGEBRA,,,,,,,,,
1,300,300,12,AMERICAN LITERATURE,,,,,,,,,
1,312,312,37,Arts of Native AMERICAN PEOPLES,,,,,,,,,
1,349,349,69,Native American Peoples,,,,,,,,,
1,418,418,18,AMPHIBIANS,Amphibians,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
1,436,436,5,AMSTERDAM,,,,,,,,,
1,441,441,82,ANALYSIS (in Mathematics),,,,,,,,,
1,523,523,80,Physical and Chemical ANALYSIS AND MEASUREMENT,"Analysis and Measurement, Physical and Chemical",3,observed_comma_flip,22 | 26 | 53,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,,,,
1,603,603,163,ANGIOSPERMS: The Flowering Plants,Angiosperms: The Flowering Plants,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,,,
1,766,766,12,ANIMALS,Animals,3,direct,96 | 100 | 119,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg,,,,
