volume,image,orientation,article_count,titles,status,visible_article_count,missing_entries,extra_entries,notes
1,contents_pages/macropaedia-2010-volume-01-contents.jpg,left,32,1 ACCOUNTING | 5 Ansel ADAMS | 6 John ADAMS | 9 AESTHETICS | 24 AFGHANISTAN | 37 AFRICA | 120A AFRICAN AMERICAN LITERATURE | 121 AFRICAN ARTS | 168 AGRICULTURAL SCIENCES | 172 The History of AGRICULTURE | 195 ALCOHOL AND DRUG CONSUMPTION | 224 ALEXANDER the Great | 229 ALEXANDRIA | 234 ALGAE | 244 ALGEBRA | 300 AMERICAN LITERATURE | 312 Arts of Native AMERICAN PEOPLES | 349 Native American Peoples | 418 AMPHIBIANS | 436 AMSTERDAM | 441 ANALYSIS (in Mathematics) | 523 Physical and Chemical ANALYSIS AND MEASUREMENT | 603 ANGIOSPERMS: The Flowering Plants | 766 ANIMALS | 778 ANNELIDS | 788 ANTARCTICA | 805 ANTWERP | 808 ARABIA | 853 ARACHNIDS | 872 ARCHIMEDES | 874 The Art of ARCHITECTURE | 901 The History of Western ARCHITECTURE,verified,,,,
2,contents_pages/macropaedia-2010-volume-02-contents.jpg,left,47,"1 The ARCTIC | 38 ARGENTINA | 55 Aristotle and ARISTOTELIANISM | 72 ARITHMETIC | 82 ART CONSERVATION AND RESTORATION | 94 The History of ART CRITICISM | 108 ARTHROPODS | 114 ARTIFICIAL INTELLIGENCE | 122 ASCHELMINTHS | 128 ASIA | 241 ASIAN PEOPLES AND CULTURES | 278 ATATÜRK | 282 ATHENS | 289 The ATLANTIC OCEAN | 315 ATMOSPHERE | 339 Atoms: Their Structure, Properties, and Component Particles | 391 ATTENTION | 397 AUGUSTINE | 402 AUGUSTUS | 406 AUSTRALIA | 493 Literatures of AUSTRALIA AND NEW ZEALAND | 501 AUSTRIA | 539 AUTOMATA THEORY | 548 AUTOMATION | 558 BACH | 564 Francis BACON | 587 BAGHDAD | 591 BALKAN STATES | 685 BALTIC STATES | 708 BANGKOK | 711 BANGLADESH | 721 BARCELONA | 723 BASEBALL | 737 BEETHOVEN | 744 Animal BEHAVIOUR | 829 The Development of Human BEHAVIOUR | 844 BEIRUT | 847 BELARUS | 853 BELGIAN LITERATURE | 857 BELGIUM | 871 BERLIN | 878 BEVERAGE PRODUCTION | 898 BHUTAN | 903 BIBLICAL LITERATURE and Its Critical Interpretation | 1007 Biochemical Components of Organisms | 1069 The BIOLOGICAL SCIENCES | 1127 The BIOSPHERE and Concepts of Ecology",verified,,,,
3,contents_pages/macropaedia-2010-volume-03-contents.jpg,right,49,"1 BIRDS | 113 BIRTH CONTROL | 121 BISMARCK | 125 BLOOD | 155 BOHR | 157 BOLIVIA | 169 BOMBAY (MUMBAI) | 172 BOSTON | 177 BOXING | 185 BRAZIL | 210 BROADCASTING | 247 BRUSSELS | 252 BRYOPHYTES | 258 BUDAPEST | 263 The Buddha and BUDDHISM | 306 BUENOS AIRES | 312 BUILDING CONSTRUCTION | 340 BUSINESS LAW | 366 BUSINESS ORGANIZATION | 377 The History of the BYZANTINE EMPIRE | 402 CAESAR | 407 CAIRO | 412 CALCUTTA | 417 CALENDAR | 435 Calvin and CALVINISM | 440 CANADA | 514 CANADIAN LITERATURE | 519 CANCER | 528 CANTON (GUANGZHOU) | 531 CAPE TOWN | 535 CARACAS | 539 CARICATURE, CARTOON, AND COMIC STRIP | 553 Descartes and CARTESIANISM | 561 Domestic CATS | 565 CELLS: Their Structures and Functions | 594 CELTIC LITERATURE | 604 CENSORSHIP | 612 CENTRAL AFRICA | 653 CENTRAL AMERICA | 701 CENTRAL ASIA | 716 CENTRAL ASIAN ARTS | 737 CERVANTES | 741 CHARLEMAGNE | 745 CHAUCER | 749 CHEMICAL BONDING | 777 CHEMICAL COMPOUNDS | 932 CHEMICAL ELEMENTS | 1039 CHEMICAL REACTIONS | 1100 CHESS",verified,,,,
4,contents_pages/macropaedia-2010-volume-04-contents.jpg,right,47,1 CHICAGO | 9 CHILDHOOD DISEASES | 21 CHILE | 36 CHINA | 231 CHINESE LITERATURE | 241 CHORDATES | 251 CHRISTIANITY | 367 CHUNGKING (CHONGOING) | 371 CHURCHILL | 377 CIRCULATION AND CIRCULATORY SYSTEMS | 418 CIRCUS | 425 CITIES | 436 CLIMATE AND WEATHER | 523 CNIDARIANS | 529 COINS AND COINAGE | 556 COLLECTIVE BEHAVIOUR | 568 COLOGNE | 571 COLOMBIA | 585 Biological COLORATION | 595 COLOUR | 605 COLUMBUS | 611 COMMUNICATION | 617 COMPUTER CRIME | 621 COMPUTER SCIENCE | 630 COMPUTERS | 653 Confucius and CONFUCIANISM | 663 CONSERVATION OF SPECIES | 687 CONSTANTINE the Great | 690 CONSTITUTION AND CONSTITUTIONAL GOVERNMENT | 695 CONSTITUTIONAL LAW | 704 CONTINENTAL LANDFORMS | 760 COPERNICUS | 762 The Cosmos | 796 CRIME AND PUNISHMENT | 817 CRIMINAL LAW | 822 The CRUSADES | 840 CRUSTACEANS | 860 CRYPTOLOGY | 874 The Concept and Components of CULTURE | 894 CYPRUS | 902 CZECH AND SLOVAK REPUBLICS | 931 DAMASCUS | 935 The Art of DANCE | 958 The History of Western DANCE | 971 DANTE | 977 DARWIN | 982 DEATH,verified,,,,
5,contents_pages/macropaedia-2010-volume-05-contents.jpg,left,34,"1 DECORATIVE ARTS AND FURNISHINGS | 221 DELHI | 226A DEMOCRACY | 227 DENMARK | 244 The Great DEPRESSION | 246 DIAGNOSIS AND THERAPEUTICS | 269 DICKENS | 275 DIGESTION AND DIGESTIVE SYSTEMS | 315 DINOSAURS | 330 DIPLOMACY | 341 DISEASE | 394 Religious DOCTRINES AND DOGMAS | 440 DOGS | 451 DOSTOYEVSKY | 455 DRAFTING | 460 DRAWING | 478 DRESS AND ADORNMENT | 529 DRUGS AND DRUG ACTION | 561 DUBLIN | 566 DUTCH LITERATURE | 569 The EARTH: Its Properties, Composition, and Structure | 615 The EARTH SCIENCES | 655 EARTHQUAKES | 667 EAST ASIAN ARTS | 772 EASTERN AFRICA | 838 EASTERN ORTHODOXY | 857 ECHINODERMS | 866 ECLIPSE, OCCULTATION, AND TRANSIT | 878 ECONOMIC GROWTH AND PLANNING | 908 ECONOMIC SYSTEMS | 916 ECONOMIC THEORY | 953 ECUADOR | 963 EDINBURGH | 970 EDISON",verified,,,,
6,contents_pages/macropaedia-2010-volume-06-contents.jpg,up,27,1 EDUCATION | 1H History of EDUCATION | 91 EGYPT | 145 Ancient EGYPTIAN ARTS AND ARCHITECTURE | 155 EINSTEIN | 159 ELECTRICITY AND MAGNETISM | 195 ELECTROMAGNETIC RADIATION | 212 ELECTRONIC GAMES | 215 ELECTRONICS | 243 ELIZABETH I of England | 248 Human EMOTION | 257 ENCYCLOPAEDIAS AND DICTIONARIES | 287 ENDOCRINE SYSTEMS | 332 ENERGY CONVERSION | 414 ENGINEERING | 426 ENGLISH LITERATURE | 466 ENVIRONMENTALISM AND ENVIRONMENTAL LAW | 472 EPISTEMOLOGY | 489 ERASMUS | 492 ETHICS | 522 EUROPE | 590 EUROPEAN HISTORY AND CULTURE | 728 The History of EUROPEAN OVERSEAS EXPLORATION AND EMPIRES | 763 Ancient EUROPEAN RELIGIONS | 803 Mount EVEREST | 812 Human EVOLUTION | 855 The Theory of EVOLUTION,verified,,,,
7,contents_pages/macropaedia-2010-volume-07-contents.jpg,right,39,1 EXCRETION AND EXCRETORY SYSTEMS | 28 EXERCISE AND PHYSICAL CONDITIONING | 33 EXPLORATION | 59 FAMILY AND KINSHIP | 76 FAMILY LAW | 84 FARADAY | 87 FARMING and Agricultural Technology | 160 FEMINISM | 163 FERNS AND OTHER LOWER VASCULAR PLANTS | 179 FINLAND | 192 FISHES | 277 Commercial FISHING | 294 FLATWORMS: Phylum Platyhelminthes | 300 FLORENCE | 306 FOLK ARTS | 339 FOOD PROCESSING | 407 Henry FORD | 410 FORESTRY AND WOOD PRODUCTION | 427 FRANCE | 531 FRANKLIN | 534 FREDERICK the Great | 539 FRENCH LITERATURE | 566 FREUD | 572 Fossil FUELS | 597 FUNGI | 611 GALAXIES | 638 GALILEO | 641 GAME THEORY | 648 GANDHI | 653 GARDEN AND LANDSCAPE DESIGN | 670 GARDENING AND HORTICULTURE | 689 GASTRONOMY | 697 GAUSS | 699 The Principles of GENETICS AND HEREDITY | 741 GENEVA | 745 GENGHIS KHAN | 748 GEOCHRONOLOGY: The Interpretation and Dating of the Geologic Record | 877 GEOGRAPHY | 887 GEOMETRY,verified,,,,
8,contents_pages/macropaedia-2010-volume-08-contents.jpg,up,45,"1 GEOMORPHIC PROCESSES | 27 GERMAN LITERATURE | 39 GERMANY | 131 GLOBAL WARMING | 133 GLOBALIZATION AND CULTURE | 138 GOETHE | 141 The Forms of GOVERNMENT: Their Historical Development | 148 GOVERNMENT FINANCE | 160 GRAPHIC DESIGN | 169 GRAVITATION | 178 GREECE | 205 Ancient GREEK AND ROMAN CIVILIZATIONS | 342 The Classical GREEK DRAMATISTS: Aeschylus, Sophocles, Euripides, and Aristophanes | 352 GREEK LITERATURE | 361 Biological GROWTH AND DEVELOPMENT | 441 GUYANA | 447 GYMNOSPERMS | 466 The House of HABSBURG | 472 HAMBURG | 475A HARLEM RENAISSANCE | 476 HARVEY | 479 HAVANA | 483 HEBREW LITERATURE | 487 Hegel and HEGELIANISM | 498 HEISENBERG | 500 HELMHOLTZ | 503 HERALDRY | 519 HINDUISM | 559 The Study of HISTORY | 624 HITLER | 629 The HOLOCAUST | 635 The HOMERIC EPICS | 639 HONG KONG | 646 HORSES AND HORSEMANSHIP | 656 HUMAN RIGHTS | 665 HUMANISM | 678 HUME | 682 HUMOUR AND WIT | 689 HUNGARIAN LITERATURE | 693 HUNGARY | 715 The HYDROSPHERE | 732 ICE AND ICE FORMATIONS | 760 ICELAND | 768 IDEOLOGY | 773 IMMUNITY",verified,,,,
9,contents_pages/macropaedia-2010-volume-09-contents.jpg,left,28,1 INDIA | 176 The INDIAN OCEAN | 191 INDIAN PHILOSOPHY | 213 INDONESIA | 246 INDUSTRIAL CERAMICS | 266 INDUSTRIAL ENGINEERING AND PRODUCTION MANAGEMENT | 295 INDUSTRIAL GLASS | 308 INDUSTRIAL POLYMERS | 344 Chemical Process INDUSTRIES | 385 Extraction and Processing INDUSTRIES | 535 Manufacturing INDUSTRIES | 570 Textile INDUSTRIES | 589 INFECTIOUS DISEASES | 615 INFORMATION PROCESSING | 625 INFORMATION SYSTEMS | 631 INFORMATION THEORY | 638 INHERITANCE AND SUCCESSION | 648 INSECTS | 741 INSURANCE | 755 INTEGUMENTARY SYSTEMS | 775 Human INTELLIGENCE | 781 INTELLIGENCE AND COUNTERINTELLIGENCE | 788 INTERNATIONAL LAW | 797 20th-Century INTERNATIONAL RELATIONS | 900 INTERNATIONAL TRADE | 930 IRAN | 972 IRAQ | 997 IRELAND,verified,,,,
10,contents_pages/macropaedia-2010-volume-10-contents.jpg,up,47,1 Muhammad and the Religion of ISLĂM | 44 ISLAMIC ARTS | 103 The ISLAMIC WORLD | 134 ISRAEL | 150 ISTANBUL | 155 ITALIAN LITERATURE | 165 ITALY | 247 JAINISM | 254 JAKARTA | 258 JAPAN | 312 JAPANESE LITERATURE | 323 JEFFERSON | 328 JERUSALEM | 336 JESUS: The Christ and Christology | 354 JOAN OF ARC | 358 JOHANNESBURG | 363 Samuel JOHNSON | 370 JORDAN | 379 JUDAISM | 457 JUDICIAL AND ARBITRATIONAL SYSTEMS | 469 Kant and KANTIANISM | 478 KARĀCHI | 482 KELVIN | 484 KEPLER | 487 KIEV | 491 KINSHASA | 494 KOREA | 515 KOREAN LITERATURE | 521 The KOREAN WAR | 528 KYÕTO | 531 LAKES | 540 LAND REFORM AND TENURE | 548 LANGUAGE | 572 LANGUAGES OF THE WORLD | 797 The History of LATIN AMERICA | 827 LATIN-AMERICAN LITERATURE | 833 LATIN LITERATURE | 841 LAVOISIER | 843 The Profession and Practice of LAW | 854 Animal LEARNING | 870 Human LEARNING AND COGNITION | 889 LEBANON | 902 The Evolution of Modern Western LEGAL SYSTEMS | 932 LENIN | 939 LEONARDO DA VINCI | 947 LIBRARIES | 964 LIFE,verified,,,,
11,contents_pages/macropaedia-2010-volume-11-contents.jpg,down,42,"1 LIGHT | 29 LIMA | 33 LINCOLN | 40 LINGUISTICS | 72 LISBON | 77 The Art of LITERATURE | 216 The History of Western LITERATURE | 221 LOCKE | 225 The History and Kinds of LOGIC | 283 LONDON | 299 LOS ANGELES | 305 LUTHER | 314 LUXEMBOURG | 319 MADAGASCAR | 329 MADRID | 334 MALTA | 339 MAMMALS | 460 MANCHESTER | 464 MANILA | 468 MAO ZEDONG | 473 MAPPING AND SURVEYING | 495 MARKETING AND MERCHANDISING | 509 MARKETS | 526 MARSEILLE | 531 Marx and MARXISM | 544 MASKS | 552 MATERIALS SCIENCE | 566 The Foundations of MATHEMATICS | 575 The History of East Asian MATHEMATICS | 580 The History of South Asian MATHEMATICS | 583 The History of Western MATHEMATICS | 612 MATTER: Its Properties, States, Varieties, and Behaviour | 691 MAXWELL | 693 MEASUREMENT SYSTEMS | 698 MECCA AND MEDINA | 702 MECHANICS: Energy, Forces, and Their Effects | 774 MEDICINE | 829 MELBOURNE | 832 MEMORY | 841 MENTAL DISORDERS and Their Treatment | 860 The History of Ancient MESOPOTAMIA | 893 METABOLISM",verified,,,,
12,contents_pages/macropaedia-2010-volume-12-contents.jpg,left,53,1 METAPHYSICS | 27 MEXICO | 51 MEXICO CITY | 55 MICHELANGELO | 61 MICROSCOPES | 74 Ancient MIDDLE EASTERN ARTS AND ARCHITECTURE | 91 Ancient MIDDLE EASTERN RELIGIONS | 129 MILAN | 134 John Stuart MILL | 138 MILTON | 144 MIMICRY | 152 The Philosophy of MIND | 162 MINERALS AND ROCKS | 280 MODERNIZATION AND INDUSTRIALIZATION | 292 MOLIÈRE | 296 MOLLUSKS | 323 MONET | 325 MONEY | 330 MONGOLIA | 343 MONTAIGNE | 346 MONTREAL | 350 Moscow | 361 MOSES | 365 Moss ANIMALS: Phylum Bryozoa | 369 MOTION PICTURES | 436 Human MOTIVATION | 445 MOZART | 452 MUSCLES AND MUSCLE SYSTEMS | 480 MUSEUMS | 493 The Art of MUSIC | 553 The History of Western MUSIC | 565 MUSICAL FORMS AND GENRES | 651 MUSICAL INSTRUMENTS | 707 MYSTERY RELIGIONS | 715 MYTH AND MYTHOLOGY | 733 NAMES | 739 NANKING (NANJING) | 741A NANOTECHNOLOGY | 742 NAPLES | 748 NAPOLEON | 756 NAVIGATION | 767 NEBULA | 777 NEPAL | 784 NERVES AND NERVOUS SYSTEMS | 864 The NETHERLANDS | 897 NEW ORLEANS | 902 NEW YORK CITY | 916 NEW ZEALAND | 931 NEWTON | 936 NIETZSCHE | 939 NORTH AFRICA | 997 NORTH AMERICA | 1082 NORWAY,verified,,,,
