volume,image,entry,status,corrected_entry,notes
1,contents_pages/macropaedia-2010-volume-01-contents.jpg,1 ACCOUNTING,verified,,rescued_from_manual_review
1,contents_pages/macropaedia-2010-volume-01-contents.jpg,5 Ansel ADAMS,verified,,rescued_from_manual_review
1,contents_pages/macropaedia-2010-volume-01-contents.jpg,6 John ADAMS,verified,,rescued_from_manual_review
1,contents_pages/macropaedia-2010-volume-01-contents.jpg,9 AESTHETICS,verified,,rescued_from_manual_review
1,contents_pages/macropaedia-2010-volume-01-contents.jpg,349 Native American Peoples,verified,,rescued_from_manual_review
1,contents_pages/macropaedia-2010-volume-01-contents.jpg,441 ANALYSIS (in Mathematics),verified,,rescued_from_manual_review
2,contents_pages/macropaedia-2010-volume-02-contents.jpg,903 BIBLICAL LITERATURE and Its Critical Interpretation,verified,,retitled_from_raw:903 BIBLICAL LITERATUrE and Its Critical Interpretation
2,contents_pages/macropaedia-2010-volume-02-contents.jpg,1007 Biochemical Components of Organisms,verified,,rescued_from_manual_review
2,contents_pages/macropaedia-2010-volume-02-contents.jpg,1127 The BIOSPHERE and Concepts of Ecology,verified,,retitled_from_raw:1127 The BIosPHErE and Concepts of Ecology
3,contents_pages/macropaedia-2010-volume-03-contents.jpg,340 BUSINESS LAW,verified,,retitled_from_raw:340 BUSINESSLAW
3,contents_pages/macropaedia-2010-volume-03-contents.jpg,604 CENSORSHIP,verified,,rescued_from_manual_review
5,contents_pages/macropaedia-2010-volume-05-contents.jpg,244 The Great DEPRESSION,verified,,rescued_from_manual_review
5,contents_pages/macropaedia-2010-volume-05-contents.jpg,246 DIAGNOSIS AND THERAPEUTICS,verified,,rescued_from_manual_review
5,contents_pages/macropaedia-2010-volume-05-contents.jpg,275 DIGESTION AND DIGESTIVE SYSTEMS,verified,,rescued_from_manual_review
6,contents_pages/macropaedia-2010-volume-06-contents.jpg,1 EDUCATION,verified,,rescued_from_manual_review
7,contents_pages/macropaedia-2010-volume-07-contents.jpg,748 GEOCHRONOLOGY: The Interpretation and Dating of the Geologic Record,verified,,rescued_from_manual_review
9,contents_pages/macropaedia-2010-volume-09-contents.jpg,1 INDIA,verified,,rescued_from_manual_review
9,contents_pages/macropaedia-2010-volume-09-contents.jpg,176 The INDIAN OCEAN,verified,,retitled_from_raw:176 INDIA
9,contents_pages/macropaedia-2010-volume-09-contents.jpg,191 INDIAN PHILOSOPHY,verified,,rescued_from_manual_review
9,contents_pages/macropaedia-2010-volume-09-contents.jpg,213 INDONESIA,verified,,retitled_from_raw:213 INDUSTRIAL CERAMICS
9,contents_pages/macropaedia-2010-volume-09-contents.jpg,246 INDUSTRIAL CERAMICS,verified,,retitled_from_raw:246 INDONESIA
9,contents_pages/macropaedia-2010-volume-09-contents.jpg,344 Chemical Process INDUSTRIES,verified,,retitled_from_raw:344 Extraction and Processing INDUSTRIES
9,contents_pages/macropaedia-2010-volume-09-contents.jpg,385 Extraction and Processing INDUSTRIES,verified,,retitled_from_raw:385 Chemical Process INDUSTRIES
10,contents_pages/macropaedia-2010-volume-10-contents.jpg,336 JESUS: The Christ and Christology,verified,,retitled_from_raw:336 JESUS: TheChrist and Christology
10,contents_pages/macropaedia-2010-volume-10-contents.jpg,478 KARĀCHI,verified,,retitled_from_raw:478 KARÁCHI
11,contents_pages/macropaedia-2010-volume-11-contents.jpg,1 LIGHT,verified,,rescued_from_manual_review
11,contents_pages/macropaedia-2010-volume-11-contents.jpg,299 LOS ANGELES,verified,,retitled_from_raw:299 Los ANGELES
12,contents_pages/macropaedia-2010-volume-12-contents.jpg,452,pending,,unresolved_leftover
12,contents_pages/macropaedia-2010-volume-12-contents.jpg,METAPHYSICS,pending,,unresolved_leftover
13,contents_pages/macropaedia-2010-volume-13-contents.jpg,550 PHILOSOPHICAL ANTHROPOLOGY,pending,,rescued_from_manual_review
13,contents_pages/macropaedia-2010-volume-13-contents.jpg,807 Principles of PHYSICAL SCIENCE,pending,,rescued_from_manual_review
13,contents_pages/macropaedia-2010-volume-13-contents.jpg,893 Plato and PLATONISM,pending,,rescued_from_manual_review
14,contents_pages/macropaedia-2010-volume-14-contents.jpg,PRE-COLUMBIAN CIVILIZATIONS,pending,,unresolved_leftover
15,contents_pages/macropaedia-2010-volume-15-contents.jpg,393 Modern SOCIO-ECONOMIC DOCTRINES AND REFORM MOVEMENTS,pending,,retitled_from_raw:393 Modern SocIo-ECONOMIC DOCTRINES AND REFORM MOVEMENTS
15,contents_pages/macropaedia-2010-volume-15-contents.jpg,SAN FRANCISCO,pending,,unresolved_leftover
15,contents_pages/macropaedia-2010-volume-15-contents.jpg,SÃO PAULO,pending,,unresolved_leftover
17,contents_pages/macropaedia-2010-volume-17-contents.jpg,UNITED KINGDOM,pending,,unresolved_leftover
