volume_number,start_page_label,macropaedia_contents_name,candidate_count,suggested_propaedia_name,suggested_occurrence_count,suggested_match_methods,suggested_source_pages,suggested_source_images,alternate_propaedia_names
1,234,ALGAE,1,Algae,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
1,418,AMPHIBIANS,1,Amphibians,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
1,523,Physical and Chemical ANALYSIS AND MEASUREMENT,1,"Analysis and Measurement, Physical and Chemical",3,observed_comma_flip,22 | 26 | 53,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,
1,603,ANGIOSPERMS: The Flowering Plants,1,Angiosperms: The Flowering Plants,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
1,766,ANIMALS,1,Animals,3,direct,96 | 100 | 119,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg,
1,778,ANNELIDS,1,Annelids,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
1,853,ARACHNIDS,1,Arachnids,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
2,1007,Biochemical Components of Organisms,1,Biochemical Components of Organisms,2,direct,32 | 113,propaedia_pages/part_1/propaedia-2010-part-01-photo-04.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-04.jpg,
2,1069,The BIOLOGICAL SCIENCES,1,"Biological Sciences, The",1,observed_comma_flip,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,
2,108,ARTHROPODS,1,Arthropods,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
2,1127,The BIOSPHERE and Concepts of Ecology,1,"Biosphere and Concepts of Ecology, The",2,observed_comma_flip,137 | 138,propaedia_pages/part_3/propaedia-2010-part-03-photo-21.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,
2,122,ASCHELMINTHS,1,Aschelminths,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
2,315,ATMOSPHERE,1,Atmosphere,2,direct,74 | 86,propaedia_pages/part_2/propaedia-2010-part-02-photo-05.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg,
2,339,"Atoms: Their Structure, Properties, and Component Particles",1,"Atoms: Their Structure, Properties, and Component Particles",2,direct,22 | 26,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,
2,744,Animal BEHAVIOUR,2,"Behaviour, Animal",4,observed_comma_flip,96 | 127 | 131 | 134,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-13.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-17.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-19.jpg,"• Behaviour, Animal"
3,1,BIRDS,1,Birds,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
3,1039,CHEMICAL REACTIONS,1,Chemical Reactions,1,direct,36,propaedia_pages/part_1/propaedia-2010-part-01-photo-05.jpg,
3,125,BLOOD,1,Blood,1,direct,119,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg,
3,252,BRYOPHYTES,1,Bryophytes,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
3,417,CALENDAR,1,Calendar,1,direct,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,
3,561,Domestic CATS,1,"Cats, Domestic",1,observed_comma_flip,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,
3,565,CELLS: Their Structures and Functions,1,Cells: Their Structures and Functions,7,direct,96 | 113 | 115 | 116 | 118 | 119 | 125,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-04.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-05.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-06.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-07.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-12.jpg,
3,777,CHEMICAL COMPOUNDS,1,Chemical Compounds,3,direct,28 | 32 | 113,propaedia_pages/part_1/propaedia-2010-part-01-photo-03.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-04.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-04.jpg,
3,932,CHEMICAL ELEMENTS,1,Chemical Elements,2,direct,28 | 71,propaedia_pages/part_1/propaedia-2010-part-01-photo-03.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,
4,241,CHORDATES,1,Chordates,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
4,377,CIRCULATION AND CIRCULATORY SYSTEMS,1,Circulation and Circulatory Systems,2,direct,119 | 125,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-12.jpg,
4,436,CLIMATE AND WEATHER,1,Climate and Weather,1,direct,78,propaedia_pages/part_2/propaedia-2010-part-02-photo-07.jpg,
4,523,CNIDARIANS,1,Cnidarians,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
4,585,Biological COLORATION,1,"Coloration, Biological",2,observed_comma_flip,96 | 97,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,
4,595,COLOUR,1,Colour,1,direct,50,propaedia_pages/part_1/propaedia-2010-part-01-photo-10.jpg,
4,704,CONTINENTAL LANDFORMS,1,Continental Landforms,2,direct,80 | 84,propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,
4,762,The Cosmos,1,"Cosmos, The",2,observed_comma_flip,53 | 55,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,
4,840,CRUSTACEANS,1,Crustaceans,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
4,977,DARWIN,1,Darwin,1,direct,97,propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,
4,982,DEATH,1,Death,2,direct,128 | 135,propaedia_pages/part_3/propaedia-2010-part-03-photo-14.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-20.jpg,
5,275,DIGESTION AND DIGESTIVE SYSTEMS,1,Digestion and Digestive Systems,2,direct,119 | 124,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-11.jpg,
5,315,DINOSAURS,1,Dinosaurs,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
5,341,DISEASE,1,Disease,1,direct,135,propaedia_pages/part_3/propaedia-2010-part-03-photo-20.jpg,
5,440,DOGS,1,Dogs,1,direct,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,
5,529,DRUGS AND DRUG ACTION,1,Drugs and Drug Action,1,direct,113,propaedia_pages/part_3/propaedia-2010-part-03-photo-04.jpg,
5,569,"The EARTH: Its Properties, Composition, and Structure",1,"Earth, The: Its Properties, Composition, and Structure",11,observed_comma_article_colon,58 | 66 | 67 | 68 | 71 | 76 | 80 | 84 | 86 | 88 | 89,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-03.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-11.jpg | propaedia_pages/part_2/propaedia-2010-part-02-photo-12.jpg,
5,655,EARTHQUAKES,1,Earthquakes,1,direct,68,propaedia_pages/part_2/propaedia-2010-part-02-photo-03.jpg,
5,857,ECHINODERMS,1,Echinoderms,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
5,866,"ECLIPSE, OCCULTATION, AND TRANSIT",1,"Eclipse, Occultation, and Transit",1,direct,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,
6,159,ELECTRICITY AND MAGNETISM,1,Electricity and Magnetism,2,direct,47 | 116,propaedia_pages/part_1/propaedia-2010-part-01-photo-09.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-06.jpg,
6,195,ELECTROMAGNETIC RADIATION,1,Electromagnetic Radiation,2,direct,47 | 50,propaedia_pages/part_1/propaedia-2010-part-01-photo-09.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-10.jpg,
6,287,ENDOCRINE SYSTEMS,1,Endocrine Systems,2,direct,119 | 121,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-09.jpg,
6,332,ENERGY CONVERSION,1,Energy Conversion,2,direct,44 | 47,propaedia_pages/part_1/propaedia-2010-part-01-photo-08.jpg | propaedia_pages/part_1/propaedia-2010-part-01-photo-09.jpg,
6,812,Human EVOLUTION,1,"Evolution, Human",1,observed_comma_flip,97,propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,
6,855,The Theory of EVOLUTION,1,"Evolution, The Theory of",2,observed_comma_flip,96 | 97,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,
7,1,EXCRETION AND EXCRETORY SYSTEMS,1,Excretion and Excretory Systems,2,direct,119 | 125,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-12.jpg,
7,163,FERNS AND OTHER LOWER VASCULAR PLANTS,1,Ferns and Other Lower Vascular Plants,1,direct,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,
