part_number,capture_sequence,block_index,section_code,propaedia_page_reference,header_context,topic_summary,observed_propaedia_name,extraction_method,image_relative_path
3,1,1,311,96,96 Part Three. Life on Earth,Major articles dealing with the characteristics of living things,"Biosphere, The",single_ocr_line,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg
3,3,1,313,100,100 Part Three. Life on Earth,,Lamp Shells: Phylum Brachiopoda,forced_combined_3_adjacent_ocr_lines,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg
3,18,1,352,133,Division V. Section 352,Major article dealing with the basic features of the biosphere,"Biosphere, The",single_ocr_line,propaedia_pages/part_3/propaedia-2010-part-03-photo-18.jpg
3,19,1,352,134,134 Part Three. Life on Earth,Major articles dealing with biological populations and communities,"Biosphere, The",single_ocr_line,propaedia_pages/part_3/propaedia-2010-part-03-photo-19.jpg
3,22,1,355,138,138 Part Three. Life on Earth,Major articles dealing with the place of humans in the biosphere,Conservation of Natural Resources,single_ocr_line,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg
4,3,1,421,148,Part Four. Human Life,Major articles dealing with the structures and functions of the human body,Components of,single_ocr_line,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg
4,3,1,421,148,Part Four. Human Life,Major articles dealing with the structures and functions of the human body,Organisms,single_ocr_line,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg
4,3,1,421,148,Part Four. Human Life,Major articles dealing with the structures and functions of the human body,Digestive Systems,single_ocr_line,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg
4,3,1,421,148,Part Four. Human Life,Major articles dealing with the structures and functions of the human body,Systems,single_ocr_line,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg
4,5,1,423,153,Division II. Section 423,Major articles dealing with human diseases,Childhood,single_ocr_line,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg
4,5,1,423,153,Division II. Section 423,Major articles dealing with human diseases,Diseases and,single_ocr_line,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg
4,5,1,423,153,Division II. Section 423,Major articles dealing with human diseases,Disorders,single_ocr_line,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg
4,5,1,423,153,Division II. Section 423,Major articles dealing with human diseases,Digestive Systems,single_ocr_line,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg
4,5,1,423,153,Division II. Section 423,Major articles dealing with human diseases,Systems,single_ocr_line,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg
