part_number,capture_sequence,propaedia_page_reference,header_context,image_relative_path,topic_summary,sort_order,observed_title,extraction_method,match_status,match_method,matched_title,matched_volume_number,matched_start_page,matched_page_count_estimate
2,1,66,66 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg,Major articles dealing with the planet Earth,1,"Earth, The: Its Properties, Composition, and Structure",single_ocr_line,matched,observed_comma_article_colon,"The EARTH: Its Properties, Composition, and Structure",5,569,46
2,1,66,66 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg,Major articles dealing with the planet Earth,2,"Solar System, The",single_ocr_line,matched,observed_comma_flip,The SOLAR SYSTEM,15,452,104
2,2,67,Division I. Section 212,propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg,Major articles dealing with the Earth's physical properties,1,"Earth, The: Its Properties, Composition, and Structure",single_ocr_line,matched,observed_comma_article_colon,"The EARTH: Its Properties, Composition, and Structure",5,569,46
2,2,67,Division I. Section 212,propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg,Major articles dealing with the Earth's physical properties,2,Minerals and Rocks,single_ocr_line,matched,direct,MINERALS AND ROCKS,12,162,118
2,2,67,Division I. Section 212,propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg,Major articles dealing with the Earth's physical properties,3,Volcanism,single_ocr_line,matched,direct,VOLCANISM,17,509,15
2,3,68,68 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-03.jpg,Major articles dealing with the structure and composition of the Earth's interior,1,"Earth, The: Its Properties, Composition, and Structure",single_ocr_line,matched,observed_comma_article_colon,"The EARTH: Its Properties, Composition, and Structure",5,569,46
2,3,68,68 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-03.jpg,Major articles dealing with the structure and composition of the Earth's interior,2,Earthquakes,single_ocr_line,matched,direct,EARTHQUAKES,5,655,12
2,4,71,Division I. Section 214,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,Major articles dealing with the Earth's constituent minerals and rocks,1,Chemical Elements,single_ocr_line,matched,direct,CHEMICAL ELEMENTS,3,932,107
2,4,71,Division I. Section 214,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,Major articles dealing with the Earth's constituent minerals and rocks,2,"Earth, The: Its Properties, Composition, and Structure",single_ocr_line,matched,observed_comma_article_colon,"The EARTH: Its Properties, Composition, and Structure",5,569,46
2,4,71,Division I. Section 214,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,Major articles dealing with the Earth's constituent minerals and rocks,3,"Fuels, Fossil",single_ocr_line,matched,observed_comma_flip,Fossil FUELS,7,572,25
2,4,71,Division I. Section 214,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,Major articles dealing with the Earth's constituent minerals and rocks,4,Minerals and Rocks,single_ocr_line,matched,direct,MINERALS AND ROCKS,12,162,118
2,4,71,Division I. Section 214,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,Major articles dealing with the Earth's constituent minerals and rocks,5,Volcanism,single_ocr_line,matched,direct,VOLCANISM,17,509,15
2,5,74,74 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-05.jpg,Major article dealing with the atmosphere,1,Atmosphere,single_ocr_line,matched,direct,ATMOSPHERE,2,315,24
2,6,76,76 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,"Major articles dealing with the hydrosphere: the oceans, freshwater bodies, and ice masses",1,"Earth, The: Its Properties, Composition, and Structure",combined_fragment_titles,matched,observed_comma_article_colon,"The EARTH: Its Properties, Composition, and Structure",5,569,46
2,6,76,76 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,"Major articles dealing with the hydrosphere: the oceans, freshwater bodies, and ice masses",2,Lakes,single_ocr_line,matched,direct,LAKES,10,531,9
2,6,76,76 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,"Major articles dealing with the hydrosphere: the oceans, freshwater bodies, and ice masses",3,Oceans,single_ocr_line,matched,direct,OCEANS,13,134,63
2,6,76,76 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,"Major articles dealing with the hydrosphere: the oceans, freshwater bodies, and ice masses",4,"Hydrosphere, The",single_ocr_line,matched,observed_comma_flip,The HYDROSPHERE,8,715,17
2,6,76,76 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,"Major articles dealing with the hydrosphere: the oceans, freshwater bodies, and ice masses",5,Rivers,single_ocr_line,matched,direct,RIVERS,14,843,27
2,6,76,76 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,"Major articles dealing with the hydrosphere: the oceans, freshwater bodies, and ice masses",6,Ice and Ice Formations,single_ocr_line,matched,direct,ICE AND ICE FORMATIONS,8,732,28
2,7,78,78 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-07.jpg,Major article dealing with weather and climate,1,Climate and Weather,single_ocr_line,matched,direct,CLIMATE AND WEATHER,4,436,87
2,8,80,80 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg,Major articles dealing with the physical features of the Earth's surface,1,Continental Landforms,single_ocr_line,matched,direct,CONTINENTAL LANDFORMS,4,704,56
2,8,80,80 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg,Major articles dealing with the physical features of the Earth's surface,2,"Earth, The: Its Properties, Composition, and Structure",combined_fragment_titles,matched,observed_comma_article_colon,"The EARTH: Its Properties, Composition, and Structure",5,569,46
2,8,80,80 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg,Major articles dealing with the physical features of the Earth's surface,3,Oceans,single_ocr_line,matched,direct,OCEANS,13,134,63
