part_number,capture_sequence,block_index,section_code,propaedia_page_reference,header_context,image_relative_path,topic_summary,sort_order,observed_title,extraction_method,match_status,match_method,matched_title,matched_volume_number,matched_start_page,matched_page_count_estimate
4,1,1,411,144,144 Part Four. Human Life,propaedia_pages/part_4/propaedia-2010-part-04-photo-01.jpg,Major articles dealing with human evolution,1,"Evolution, Human",single_ocr_line,matched,observed_comma_flip,Human EVOLUTION,6,812,43
4,1,1,411,144,144 Part Four. Human Life,propaedia_pages/part_4/propaedia-2010-part-04-photo-01.jpg,Major articles dealing with human evolution,2,Life,single_ocr_line,matched,direct,LIFE,10,964,
4,2,1,412,145,Division I. Section 412,propaedia_pages/part_4/propaedia-2010-part-04-photo-02.jpg,Major articles dealing with human heredity: the races of mankind,1,"Evolution, Human",single_ocr_line,matched,observed_comma_flip,Human EVOLUTION,6,812,43
4,2,1,412,145,Division I. Section 412,propaedia_pages/part_4/propaedia-2010-part-04-photo-02.jpg,Major articles dealing with human heredity: the races of mankind,2,"Genetics and Heredity, The Principles of",single_ocr_line,matched,observed_comma_flip,The Principles of GENETICS AND HEREDITY,7,699,42
4,2,1,412,145,Division I. Section 412,propaedia_pages/part_4/propaedia-2010-part-04-photo-02.jpg,Major articles dealing with human heredity: the races of mankind,3,Life,single_ocr_line,matched,direct,LIFE,10,964,
4,3,1,421,148,Part Four. Human Life,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Major articles dealing with the structures and functions of the human body,1,Components of,single_ocr_line,unmatched,,,,,
4,3,1,421,148,Part Four. Human Life,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Major articles dealing with the structures and functions of the human body,2,Organisms,single_ocr_line,unmatched,,,,,
4,3,1,421,148,Part Four. Human Life,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Major articles dealing with the structures and functions of the human body,3,Blood,single_ocr_line,matched,direct,BLOOD,3,125,30
4,3,1,421,148,Part Four. Human Life,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Major articles dealing with the structures and functions of the human body,4,Circulation and Circulatory Systems,combined_3_adjacent_ocr_lines,matched,direct,CIRCULATION AND CIRCULATORY SYSTEMS,4,377,41
4,3,1,421,148,Part Four. Human Life,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Major articles dealing with the structures and functions of the human body,5,Digestive Systems,single_ocr_line,unmatched,,,,,
